text,year,month,day,hour,minute,second,week_name,week_num,num_of_day,num_of_week
"    ラーメン二郎 仙台 店 18:21 外待ち15人  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/NBY4mvBJN1"">pic.twitter.com/NBY4mvBJN1",2017,2,16,18,23,35,Thu,4,47,7
"ラーメン二郎  仙台 店 只今の並びは4人！並び超少ないです！ 仙台 店チャンスです！皆様のご来店お待ちしています！13:04       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/oVhVquCS49"">pic.twitter.com/oVhVquCS49",2017,2,16,13,5,10,Thu,4,47,7
    ラーメン二郎  仙台 店 12:00で25人の並びです,2017,2,15,12,3,40,Wed,3,46,7
"    ラーメン二郎 仙台 店 19:46 20人待ち  ○○チョコを原田店主へ渡します  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/tCinIUExiD"">pic.twitter.com/tCinIUExiD",2017,2,14,19,47,41,Tue,2,45,7
二郎 仙台 店 現在の並びは5人 13:51    ,2017,2,14,13,51,49,Tue,2,45,7
    仙台  11:45 25人,2017,2,14,11,46,38,Tue,2,45,7
"ラーメン二郎  仙台 店 只今の並びは23人！17:43      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/HIh517usD9"">pic.twitter.com/HIh517usD9",2017,2,11,17,44,11,Sat,6,42,6
二郎 仙台 店 現在の並びは 11人 13:38   ,2017,2,10,13,38,10,Fri,5,41,6
"ラーメン二郎  仙台 店 小雪舞う中只今の並びはイケメン助手さん含め14人！12:52      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/iXjS7OeToN"">pic.twitter.com/iXjS7OeToN",2017,2,9,12,52,44,Thu,4,40,6
"開店前待ち10人程 1110     (@ ラーメン二郎  仙台 店 -  <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""769432851443879936"" dir=""ltr"" href=""https://twitter.com/jiro_sendai1023"">@jiro_sendai1023  in  仙台 市 宮城県)  <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.swarmapp.com/c/lLrkb6JxG4X"" dir=""ltr"" href=""https://t.co/sWVUG3KvU0"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.swarmapp.com/c/lLrkb6JxG4X""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">swarmapp.com/c/lLrkb6JxG4X</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span>",2017,2,9,11,10,35,Thu,4,40,6
    仙台  12:49 24人待ち,2017,2,5,12,49,56,Sun,0,36,6
"ラーメン二郎  仙台 店 開店40分前 只今の並びは17人！10:50       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/vcniIw1wag"">pic.twitter.com/vcniIw1wag",2017,2,4,10,50,9,Sat,6,35,5
"     ラーメン二郎 仙台 店  20:33 外待ち3人  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/jU8Qu84sA7"">pic.twitter.com/jU8Qu84sA7",2017,2,3,20,34,44,Fri,5,34,5
二郎 仙台 店 現在の並びは21人 13:56    ,2017,2,3,13,56,42,Fri,5,34,5
"    仙台  二郎 20人くらい 1912 大ラーメン豚カタカタ生姜キムチ別皿ニンニク少し 助手は男子女子コンビ、トッピングミス多目だが頑張ってる  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/VyhA5mYtyx"">pic.twitter.com/VyhA5mYtyx",2017,2,2,19,13,12,Thu,4,33,5
"    仙台  二郎 3人待ち 1835  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/4xlITknRba"">pic.twitter.com/4xlITknRba",2017,2,2,18,35,6,Thu,4,33,5
二郎 仙台 店 現在の並びは 23人 12:35    ,2017,2,1,12,35,21,Wed,3,32,5
    仙台 店12:46 約30人,2017,1,31,12,47,34,Tue,2,31,5
    仙台 店22人 本日通し営業19時30分まで,2017,1,29,17,12,49,Sun,0,29,5
二郎 仙台 店 現在の並びは39人 13:41    ,2017,1,29,13,41,15,Sun,0,29,5
"ラーメン二郎  仙台 店 只今の並びは19人！19:03      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/bifYtj0X38"">pic.twitter.com/bifYtj0X38",2017,1,27,19,3,55,Fri,5,27,4
二郎 仙台 店 現在の並びは24人 12:40    ,2017,1,26,12,40,15,Thu,4,26,4
"ラーメン二郎  仙台 店 只今の並びは7人！並び少ないです！11:43      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/jym26JFFUt"">pic.twitter.com/jym26JFFUt",2017,1,26,11,43,58,Thu,4,26,4
    仙台 店\u3000外待ち5人チャンス！,2017,1,25,12,36,0,Wed,3,25,4
    仙台 店\u3000外待ち25人,2017,1,25,11,49,49,Wed,3,25,4
    仙台 店並びゼロ(12:43),2017,1,24,12,44,2,Tue,2,24,4
二郎 仙台 店 現在の並びは39人 12:07    ,2017,1,21,12,7,33,Sat,6,21,3
"ラーメン二郎  仙台 店 只今の並びは約30人！11:50       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/dOm7nVmuwo"">pic.twitter.com/dOm7nVmuwo",2017,1,21,11,50,36,Sat,6,21,3
    仙台 店 11:05 約25人の並び,2017,1,20,11,8,30,Fri,5,20,3
    仙台 店、18:23、並びが3人ですよ。,2017,1,19,18,24,18,Thu,4,19,3
二郎 仙台 店 現在の並びは8人 13:59    ,2017,1,18,13,59,34,Wed,3,18,3
   20:10現在 仙台 待ち20～30人,2017,1,17,20,8,18,Tue,2,17,3
"ラーメン二郎  仙台 店 只今の並びは17人！ 仙台 店、昼営業は14時30分までです。13:53      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/SZuSFbIlRO"">pic.twitter.com/SZuSFbIlRO",2017,1,17,13,53,35,Tue,2,17,3
   ひばりヶ丘駅前 11:15 15人  仙台 からはるばる来ました！,2017,1,17,11,16,20,Tue,2,17,3
    仙台  14:22 待ち23,2017,1,15,14,22,33,Sun,0,15,3
    仙台 店21人待ち,2017,1,15,14,6,47,Sun,0,15,3
"ラーメン二郎  仙台 店 並びが30人以下になりました。12:42      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/M0JczHIJIY"">pic.twitter.com/M0JczHIJIY",2017,1,15,12,42,26,Sun,0,15,3
"ラーメン二郎  仙台 店 只今の並びは約48人！間も無く50人超えになりそうです。 仙台 店、日曜日の営業は19時30分までの通し営業です。11:52      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/fEvpm0ljBh"">pic.twitter.com/fEvpm0ljBh",2017,1,15,11,52,14,Sun,0,15,3
    仙台 店 開店待ち 並び3 1034,2017,1,15,10,34,10,Sun,0,15,3
"ラーメン二郎  仙台 店 只今の並びは0人！並び無しです！皆様ビッグチャンスです！ご来店お待ちしております！12:17       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/CAjIFDlfBn"">pic.twitter.com/CAjIFDlfBn",2017,1,12,12,17,27,Thu,4,12,2
二郎 仙台 店 現在の並びは23人 12:51   ,2017,1,11,12,51,15,Wed,3,11,2
   二郎 仙台 店 現在の並びは21人 12:48,2017,1,11,12,48,9,Wed,3,11,2
   ラーメン二郎 仙台 店 並び13人 1716,2017,1,10,17,16,49,Tue,2,10,2
"ラーメン二郎  仙台 店 只今の並びは約40人！日曜日の 仙台 店は19時30分までの営業です。ご来店予定の方はお早めにお願い致します。17:54      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/lWUHRqJffi"">pic.twitter.com/lWUHRqJffi",2017,1,8,17,54,11,Sun,0,8,2
    仙台  晴れ 10:50 12名程の並び,2017,1,8,10,48,4,Sun,0,8,2
   ラーメン二郎 仙台 店 11時30分  開店時間でならび50名以上 やべーですこれは こんなに並ぶとは思わなかった  仙台 は回転が早いので助かるんですけどね。,2017,1,7,11,32,18,Sat,6,7,1
   ラーメン二郎  仙台 店 10時55分現在 開店35分前 並び25人 不動産屋前ぐらいまで来てます。,2017,1,7,10,55,31,Sat,6,7,1
    仙台 店約40人 間に合ったが不動産屋横断歩道前 22時30分になるな～,2017,1,6,21,2,12,Fri,5,6,1
   ラーメン二郎 仙台 店 開店前並び 11人 1634,2017,1,6,16,34,9,Fri,5,6,1
二郎 仙台 店 現在の並びは47人 12:31    ,2017,1,6,12,32,6,Fri,5,6,1
    ラーメン二郎 仙台 店 11:25 50人オーバー 交差点越えそうです,2017,1,6,11,26,11,Fri,5,6,1
"ラーメン二郎  仙台 店 開店24分前 只今の並びは約30人！11:06       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/MM8tz5PN3R"">pic.twitter.com/MM8tz5PN3R",2017,1,6,11,6,29,Fri,5,6,1
"ラーメン二郎  仙台 店 只今の並びは約50人！ 仙台 店本日の営業は17時までの予定ですが、もうちょい長く営業するかもしれないとのことです。ご来店予定の方はお早めにお願い致します。営業終了後の麺豚販売の並びは8人です！16:07       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/uKW3yNtPKC"">pic.twitter.com/uKW3yNtPKC",2016,12,29,16,8,16,Thu,4,364,52
"    ラーメン二郎 仙台 店 15:59 交差点超えの約50人待ち  麺豚販売、8人待ち <img alt=""❗️"" aria-label=""Emoji: 赤いビックリマーク"" class=""Emoji Emoji--forText"" draggable=""false"" src=""./  仙台 - Twitter検索_files/2757.png"" title=""赤いビックリマーク""/>   本日、閉店後に麺豚販売の為かなり混んでます。  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/4lu8JLMGEf"">pic.twitter.com/4lu8JLMGEf",2016,12,29,16,3,22,Thu,4,364,52
    仙台 店1550 行列は不動産屋さん越えて交差点渡っても続いてます(^^;)ブタ販売も既にお待ちの方々が。,2016,12,29,15,53,14,Thu,4,364,52
    仙台 店 14:25 71人待ち,2016,12,29,14,27,45,Thu,4,364,52
"有明で多くの待機列が形成される一方 仙台 では、 RT  <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3184504410"" dir=""ltr"" href=""https://twitter.com/sendaiten"">@sendaiten : ラーメン二郎  仙台 店 年内最終日 只今の並びは約70人！まだまだ並びが増えています。12:10       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/n2WdWGKnwP"">pic.twitter.com/n2WdWGKnwP",2016,12,29,13,47,56,Thu,4,364,52
"ラーメン二郎  仙台 店 年内最終日 只今の並びは約70人！まだまだ並びが増えています。12:10       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/cuT1RSgDiL"">pic.twitter.com/cuT1RSgDiL",2016,12,29,12,11,2,Thu,4,364,52
二郎 仙台 店 現在の並びは信号越えて60か70か？11:48    ,2016,12,29,11,48,19,Thu,4,364,52
    仙台 店 10:48 不動産屋前,2016,12,29,10,48,49,Thu,4,364,52
二郎 仙台 店 え！並びは50人オーバー13:40    ,2016,12,28,13,40,26,Wed,3,363,52
"    ラーメン二郎 仙台 店 20:18 約30人待ち  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/2ZkToJH9pS"">pic.twitter.com/2ZkToJH9pS",2016,12,27,20,19,1,Tue,2,362,52
"ラーメン二郎  仙台 店 只今の並びは20人！12:51       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/5aLKHYsbRB"">pic.twitter.com/5aLKHYsbRB",2016,12,27,12,51,24,Tue,2,362,52
   11:45 小雨の 仙台  外待ち20人弱,2016,12,27,11,44,56,Tue,2,362,52
    仙台  10:21 開店前5人待ち,2016,12,25,10,21,33,Sun,0,360,52
   10:51  仙台  11人待ち,2016,12,24,10,52,20,Sat,6,359,51
    仙台 待ち不動産前あたりまで 13時,2016,12,23,13,1,38,Fri,5,358,51
    仙台 店、開店10分前25人待ちです。,2016,12,23,11,23,58,Fri,5,358,51
"ラーメン二郎  仙台 店 開店22分前 只今の並びは11人！11:08       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/WQBVL2tL4g"">pic.twitter.com/WQBVL2tL4g",2016,12,22,11,8,56,Thu,4,357,51
二郎 仙台 店 現在  並びなし 13:50   ,2016,12,21,13,50,53,Wed,3,356,51
"    ラーメン二郎  仙台 店 12:30 外待ち23人  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/vCmC12MUzN"">pic.twitter.com/vCmC12MUzN",2016,12,20,12,30,19,Tue,2,355,51
"ラーメン二郎  仙台 店 只今の並びは約20人！日曜日の 仙台 店は19時30分までの営業です。ご来店予定の方はお早めにお願いします。16:51       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/NyB2WX8AjM"">pic.twitter.com/NyB2WX8AjM",2016,12,18,16,51,54,Sun,0,353,51
"待ち列信号越えそう     (@ ラーメン二郎  仙台 店 -  <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""769432851443879936"" dir=""ltr"" href=""https://twitter.com/jiro_sendai1023"">@jiro_sendai1023  in  仙台 市 宮城県)  <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.swarmapp.com/c/18vNPiVRd8H"" dir=""ltr"" href=""https://t.co/Ti5T2X7pZC"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.swarmapp.com/c/18vNPiVRd8H""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">swarmapp.com/c/18vNPiVRd8H</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span>",2016,12,18,12,8,54,Sun,0,353,51
    仙台 二郎 開店待ち今20人くらいです  10:58,2016,12,18,10,58,20,Sun,0,353,51
    仙台 店 30〜40人くらいでしょうか。,2016,12,17,11,14,39,Sat,6,352,50
二郎 仙台 店 現在の並びは5人 14:16    ,2016,12,16,14,16,54,Fri,5,351,50
"    仙台 店の忘れ物情報3  <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/jiro_sendai1023/status/808580130406703105"" dir=""ltr"" href=""https://t.co/u0F31otflz"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/jiro_sendai1023/status/808580130406703105""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/jiro_sendai102</span><span class=""invisible"">3/status/808580130406703105</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span>",2016,12,13,20,19,13,Tue,2,348,50
"    仙台 店の忘れ物情報2  <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/jiro_sendai1023/status/808579868086583297"" dir=""ltr"" href=""https://t.co/uUsRqAbGvu"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/jiro_sendai1023/status/808579868086583297""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/jiro_sendai102</span><span class=""invisible"">3/status/808579868086583297</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span>",2016,12,13,20,18,54,Tue,2,348,50
"    仙台 店の忘れ物情報  <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/jiro_sendai1023/status/808579762742378496"" dir=""ltr"" href=""https://t.co/yYeRIFzDTM"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/jiro_sendai1023/status/808579762742378496""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/jiro_sendai102</span><span class=""invisible"">3/status/808579762742378496</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span>",2016,12,13,20,18,36,Tue,2,348,50
"ラーメン二郎  仙台 店 只今の並びは約35人！ 仙台 店前では路駐の取り締まりをやっています。路駐車がレッカー移動されています。11:43       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/o9xixcab9M"">pic.twitter.com/o9xixcab9M",2016,12,11,11,44,23,Sun,0,346,50
    仙台 店どうですか？,2016,12,10,10,50,4,Sat,6,345,49
二郎 仙台 店 現在の並びは21人 13:45    ,2016,12,9,13,46,4,Fri,5,344,49
"ラーメン二郎  仙台 店 開店15分前 只今の並びは18人！11:15      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Xp2VjwPfVD"">pic.twitter.com/Xp2VjwPfVD",2016,12,8,11,15,19,Thu,4,343,49
    仙台 店 17:50 27人の並び,2016,12,4,17,52,25,Sun,0,339,49
    仙台 店 14:55 22人の並び,2016,12,4,14,58,8,Sun,0,339,49
仙台 店 外36人待ち   ,2016,12,2,20,29,36,Fri,5,337,48
   17時開店前 仙台 待ち20人ほど,2016,12,2,17,2,7,Fri,5,337,48
    仙台  開店待ち9人 1113,2016,12,1,11,13,11,Thu,4,336,48
"ラーメン二郎  仙台 店 只今の並びは高校生とオッサン多めの27人！12:21      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/hpAi4KrI6Y"">pic.twitter.com/hpAi4KrI6Y",2016,11,29,12,21,17,Tue,2,334,48
    仙台  13:10 9名ほど。駅伝開催の影響？少な目の並びです。,2016,11,27,13,14,1,Sun,0,332,48
仙台 12:24 40人弱(駐車場超え)   ,2016,11,26,12,25,31,Sat,6,331,47
"ラーメン二郎  仙台 店 只今の並びは40人！17:57      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/V1QhHUT8S9"">pic.twitter.com/V1QhHUT8S9",2016,11,25,17,58,11,Fri,5,330,47
"ラーメン二郎  仙台 店 開店1時間前、只今の並びは8人！10:36      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/aXZUYGtQS7"">pic.twitter.com/aXZUYGtQS7",2016,11,23,10,36,31,Wed,3,328,47
二郎 仙台 店 現在の並びは16人 11:36    ,2016,11,22,11,36,52,Tue,2,327,47
"    ラーメン二郎 仙台 店 19:15 信号機まで約40人待ち  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/xOVv7n46Ts"">pic.twitter.com/xOVv7n46Ts",2016,11,20,19,16,35,Sun,0,325,47
"ラーメン二郎  仙台 店 只今の並びは40人！ 仙台 店 日曜日は19時30分までの営業です。ご来店予定の方はお早めにお願い致します。18:11      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/A7e4NBQKP1"">pic.twitter.com/A7e4NBQKP1",2016,11,20,18,11,31,Sun,0,325,47
    仙台 店 12人くらい 1515,2016,11,20,15,18,39,Sun,0,325,47
"    ラーメン二郎 仙台 店 18:34  21人待ち  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/GX8sA42UOb"">pic.twitter.com/GX8sA42UOb",2016,11,19,18,34,51,Sat,6,324,46
   ラーメン二郎 仙台 店  17時 並び20人以上、、,2016,11,18,17,0,47,Fri,5,323,46
"ラーメン二郎  仙台 店 只今の並びは35人！ 12:27  shuさんお疲れ様！      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/bOYx9owTVk"">pic.twitter.com/bOYx9owTVk",2016,11,18,12,29,16,Fri,5,323,46
二郎 仙台 店 現在の並びは37人 11:57 今オープン   ,2016,11,18,11,58,40,Fri,5,323,46
"ラーメン二郎  仙台 店 只今の並びは横やんが帰ったのに約45人！すんごい行列です。日曜日の 仙台 店の営業時間は19時30分までです。ご来店予定のお客様はお早めにお願い致します。      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/uNoIrsK6uL"">pic.twitter.com/uNoIrsK6uL",2016,11,13,17,36,36,Sun,0,318,46
    仙台  開店前10:17  4人待ち,2016,11,13,10,17,11,Sun,0,318,46
    ええええ！ 仙台 二郎35人以上待ち,2016,11,12,11,48,24,Sat,6,317,45
二郎 仙台 店 現在の並びは7人 13:27    ,2016,11,11,13,27,27,Fri,5,316,45
"ラーメン二郎  仙台 店 只今の並びは13人！12:48      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/eMJB26Ltix"">pic.twitter.com/eMJB26Ltix",2016,11,10,12,48,49,Thu,4,315,45
    ラーメン二郎 仙台 店 11:20 15人の並びです❢❢  何気に風が冷たいです。。。 (>.<),2016,11,8,11,23,25,Tue,2,313,45
"ラーメン二郎  仙台 店 只今の並びは43人！日曜日の 仙台 店は19時30分までの営業です。ご来店予定の方はお早めにお願いします。今日の 仙台 はメッチャ寒いです。17:33      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/aJydYkKzoq"">pic.twitter.com/aJydYkKzoq",2016,11,6,17,33,32,Sun,0,311,45
"    ラーメン二郎 仙台 店 20:04 若者ばかり約30人待ち  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/nyp5hGpL8y"">pic.twitter.com/nyp5hGpL8y",2016,11,4,20,4,15,Fri,5,309,44
    仙台  開店前 10:15  4人待ち,2016,11,3,10,16,7,Thu,4,308,44
    仙台 店待ち40～50人 1920,2016,11,2,19,21,7,Wed,3,307,44
"   ラーメン二郎 仙台 店。小豚ﾆﾝﾆｸﾔｻｲﾊﾝﾌﾞﾝ。40分並び店内ヘ。豚を２枚食べた後の写真。この前も、この後も、おいしかった。  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/YAIrLQdDUo"">pic.twitter.com/YAIrLQdDUo",2016,11,2,19,12,49,Wed,3,307,44
二郎 仙台 店 現在の並びは19人 11:42     ,2016,11,1,11,42,48,Tue,2,306,44
"    仙台 のみなもと屋で二郎系を食べた。豚そば大盛りニンニク別皿。  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/85Q3U3jGOn"">pic.twitter.com/85Q3U3jGOn",2016,10,30,21,38,51,Sun,0,304,44
"    仙台 店 19:10 若者多めの約25人待ち  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/P7hEVqkdKi"">pic.twitter.com/P7hEVqkdKi",2016,10,30,19,10,58,Sun,0,304,44
"ラーメン二郎  仙台 店 只今の並びはイケメンばかり11人！14:47      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/D2NfGd3G6z"">pic.twitter.com/D2NfGd3G6z",2016,10,30,14,47,48,Sun,0,304,44
   1150  仙台  外待ち48,2016,10,30,11,51,47,Sun,0,304,44
"    <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""https://twitter.com/hashtag/%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E4%BA%8C%E9%83%8E?src=hash"">#ラーメン二郎   <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""https://twitter.com/hashtag/%E4%BA%8C%E9%83%8E%E8%A1%8C%E5%88%97%E3%83%81%E3%82%A7%E3%83%83%E3%82%AB%E3%83%BC?src=hash"">#二郎行列チェッカー  会津若松駅前店 2人 開店待ち～昨日の 仙台 店からの会津店へ！",2016,10,29,10,41,50,Sat,6,303,43
"ラーメン二郎  仙台 店 只今の並びふ呑み師ブーさん、ド変態黒糖さん含め10人！10:58      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/KivPXMhL7P"">pic.twitter.com/KivPXMhL7P",2016,10,28,10,58,28,Fri,5,302,43
"    <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""https://twitter.com/hashtag/%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E4%BA%8C%E9%83%8E?src=hash"">#ラーメン二郎   <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""https://twitter.com/hashtag/%E4%BA%8C%E9%83%8E%E8%A1%8C%E5%88%97%E3%83%81%E3%82%A7%E3%83%83%E3%82%AB%E3%83%BC?src=hash"">#二郎行列チェッカー   仙台 店 4人 開店待ち～  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/r93Komjdke"">pic.twitter.com/r93Komjdke",2016,10,28,10,30,14,Fri,5,302,43
"   ラーメン二郎 仙台 店。30分並んで店内ヘ。ニンニクヤサイマシショウガ。ＧＦＯＭ（ゴットファーザーオブ麺料理）でした。この中にうめぇ〜あいつが2枚隠れてます。  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/4HYsCF4rtd"">pic.twitter.com/4HYsCF4rtd",2016,10,27,18,39,26,Thu,4,301,43
    仙台 店12名待ち，他に鍋持参の方あり,2016,10,27,11,51,15,Thu,4,301,43
二郎 仙台 店 13:47  並び無し    ,2016,10,26,13,48,20,Wed,3,300,43
"並び15くらい     (@ ラーメン二郎  仙台 店 -  <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""769432851443879936"" dir=""ltr"" href=""https://twitter.com/jiro_sendai1023"">@jiro_sendai1023  in  仙台 市 宮城県 w/  <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""463674113"" dir=""ltr"" href=""https://twitter.com/kallon5519"">@kallon5519 )  <a class=""twitter-timeline-link"" data-expanded-url=""https://www.swarmapp.com/c/bdsznQSNEm8"" dir=""ltr"" href=""https://t.co/6lbQAGzQDR"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.swarmapp.com/c/bdsznQSNEm8""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">swarmapp.com/c/bdsznQSNEm8</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span>",2016,10,26,12,5,8,Wed,3,300,43
"本日ひっそりと5周年を迎えたラーメン二郎  仙台 店 只今の並びはハラペコのやすみそさん含め約35人！15:18       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/pUdxd6urw3"">pic.twitter.com/pUdxd6urw3",2016,10,23,15,19,36,Sun,0,297,43
    仙台 店 40人ぐらい,2016,10,23,14,58,23,Sun,0,297,43
仙台 店で麺切れで早仕舞いの経験は無いと思いますが、日曜日は19時半までですので気をつけて下さい。,2016,10,23,13,32,25,Sun,0,297,43
"    仙台 店 11:05 約25人待ち  本日、 仙台 店は5周年です。 2番手にはPPAPにを取れなかったわかず君が並んでいます。  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/9fdwchejUD"">pic.twitter.com/9fdwchejUD",2016,10,23,11,7,3,Sun,0,297,43
